Paper Title;Year;Author;Publication;Url of paper
E-beam inspection for gap physical defect detection in 28nm CMOS process;2013.0;TC Chen, CN Tsai, W Pai, C Wu, L Lin…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6552750/
Application of Convolutional Neural Network in Defect Detection of 3C Products;2021.0;W Ming, C Cao, G Zhang, H Zhang, F Zhang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9552002/
Defect detection in textile fabric images using wavelet transforms and independent component analysis;2006.0;A Serdaroglu, A Ertuzun, A Erçil;Springer;https://link.springer.com/article/10.1134/S1054661806010196
One class based feature learning approach for defect detection using deep autoencoders;2019.0;A Mujeeb, W Dai, M Erdt, A Sourin;Elsevier;https://www.sciencedirect.com/science/article/pii/S1474034619301259
Textile fabric defect detection based on low-rank representation;2019.0;P Li, J Liang, X Shen, M Zhao, L Sui;Springer;https://link.springer.com/article/10.1007/s11042-017-5263-z
Wavelet-based image enhancement for defect detection in thin film transistor liquid crystal display panel;2006.0;YC Song, DH Choi, KH Park;iopscience.iop.org;https://iopscience.iop.org/article/10.1143/JJAP.45.5069/meta
Fruit defect detection based on speeded up robust feature technique;2016.0;AK Dubey;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7785023/
Defect detection and classification by training a generic convolutional neural network encoder;2020.0;X Dong, CJ Taylor, TF Cootes;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9229084/
Defect Detection in Fruit and Vegetables by Using Machine Vision Systems and Image Processing;2022.0;M Soltani Firouz, H Sardari;Springer;https://link.springer.com/article/10.1007/s12393-022-09307-1
Unsupervised pixel-level road defect detection via adversarial image-to-frequency transform;2020.0;J Yu, DY Kim, Y Lee, M Jeon;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9304843/
Robust fabric defect detection and classification using multiple adaptive wavelets;2005.0;X Yang, G Pang, N Yung;IET;https://digital-library.theiet.org/content/journals/10.1049/ip-vis_20045131
Unsupervised fabric defect detection based on a deep convolutional generative adversarial network;2020.0;G Hu, J Huang, Q Wang, J Li, Z Xu…;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/0040517519862880
Defect detection in coloured texture surfaces using Gabor filters;2005.0;DM Tsai, CP Lin, KT Huang;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1179/136821905X26935
Defect detection on patterned jacquard fabric;2003.0;HYT Ngan, GKH Pang, SP Yung…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1284266/
Automated fabric defect detection;2018.0;P Bandara, T Bandara, T Ranatunga…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8615491/
An anisotropic diffusion-based defect detection for low-contrast glass substrates;2008.0;SM Chao, DM Tsai;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885607000662
Defect detection in inhomogeneously textured sputtered surfaces using 3D Fourier image reconstruction;2007.0;DM Tsai, CC Kuo;Springer;https://link.springer.com/article/10.1007/s00138-007-0073-3
Dual-biprism-based digital image correlation for defect detection of pipelines;2019.0;T Yuan, X Dai, X Shao, Z Zu, X Cheng…;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/Optical-Engineering/volume-58/issue-1/014107/Dual-biprism-based-digital-image-correlation-for-defect-detection-of/10.1117/1.OE.58.1.014107.short
A quantile–quantile plot based pattern matching for defect detection;2005.0;DM Tsai, CH Yang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0167865505000528
Automatic fabric defect detection with a multi-scale convolutional denoising autoencoder network model;2018.0;S Mei, Y Wang, G Wen;mdpi.com;https://www.mdpi.com/278356
Measurement and defect detection of the weld bead based on online vision inspection;2009.0;Y Li, YF Li, QL Wang, D Xu…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5288594/
Discriminative fabric defect detection using adaptive wavelets;2002.0;XZ Yang, GKH Pang, NHC Yung;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/optical-engineering/volume-41/issue-12/0000/Discriminative-fabric-defect-detection-using-adaptive-wavelets/10.1117/1.1517290.short
Convolutional neural network for semiconductor wafer defect detection;2019.0;B Devika, N George;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8944584/
Defect detection of polycrystalline solar wafers using local binary mean;2016.0;JS Ko, JY Rheem;Springer;https://link.springer.com/article/10.1007/s00170-015-7498-z
Performance evaluation of wavelet-based PCB defect detection and localization algorithm;2002.0;Z Ibrahim, SAR Al-Attas, Z Aspar…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1189895/
Development of a machine vision system: real-time fabric defect detection and classification with neural networks;2014.0;Hİ Çelik, LC Dülger…;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00405000.2013.827393
Vision-based defect detection of scale-covered steel billet surfaces;2009.0;JP Yun, SH Choi, SW Kim;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/Optical-Engineering/volume-48/issue-3/037205/Vision-based-defect-detection-of-scale-covered-steel-billet-surfaces/10.1117/1.3102066.short
Welding defect detection and classification using geometric features;2012.0;J Hassan, AM Awan, A Jalil;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6424312/
Fabric defect detection for apparel industry: a nonlocal sparse representation approach;2017.0;L Tong, WK Wong, CK Kwong;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7857011/
Automatic defect detection of texture surface with an efficient texture removal network;2022.0;Y Liang, K Xu, P Zhou, D Zhou;Elsevier;https://www.sciencedirect.com/science/article/pii/S1474034622001343
Multi defect detection and analysis of electron microscopy images with deep learning;2021.0;M Shen, G Li, D Wu, Y Liu, JRC Greaves, W Hao…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0927025621003037
The phase only transform for unsupervised surface defect detection;2010.0;D Aiger, H Talbot;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5540198/
Track Defect Detection for High-Speed Maglev Trains via Deep Learning;2022.0;Y He, J Wu, Y Zheng, Y Zhang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9712313/
Three-dimensional measurement and defect detection based on single image;2005.0;L Song, X Qu, K Xu, L Lv;Citeseer;https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.102.5703&rep=rep1&type=pdf
Automatic Printed Fabric Defect Detection Based on Image Classification Using Modified VGG Network;2021.0;S Chakraborty, M Moore…;Springer;https://link.springer.com/chapter/10.1007/978-3-030-79763-8_46
Yarn-dyed fabric defect detection based on autocorrelation function and GLCM;2015.0;D Zhu, R Pan, W Gao, J Zhang;sciendo.com;https://sciendo.com/abstract/journals/aut/15/3/article-p226.xml
Development of PCB Defect Detection System Using Image Processing With YOLO CNN Method;2022.0;AD Santoso, FB Cahyono, B Prahasta, I Sutrisno…;ijair.id;http://ijair.id/index.php/ijair/article/view/343
Sub-pixel level defect detection based on notch filter and image registration;2018.0;LY Guo, SN Li, W Hu, JH Wu, B Tu, W He…;World Scientific;https://www.worldscientific.com/doi/abs/10.1142/S0218001418540162
Fabric defect detection using local homogeneity analysis and neural network;2015.0;A Rebhi, I Benmhammed, S Abid…;downloads.hindawi.com;https://downloads.hindawi.com/archive/2015/376163.pdf
A database for counterfeit electronics and automatic defect detection based on image processing and machine learning;2016.0;N Asadizanjani, S Gattigowda, M Tehranipoor…;dl.asminternational.org;https://dl.asminternational.org/istfa/proceedings-abstract/ISTFA2016/81368/580/12137
Deep metallic surface defect detection: The new benchmark and detection network;2020.0;X Lv, F Duan, J Jiang, X Fu, L Gan;mdpi.com;https://www.mdpi.com/662404
Strip steel defect detection based on saliency map construction using Gaussian pyramid decomposition;2015.0;S Guan;jstage.jst.go.jp;https://www.jstage.jst.go.jp/article/isijinternational/55/9/55_ISIJINT-2015-041/_article/-char/ja/
Defect detection in random colour textures;1996.0;KY Song, J Kittler, M Petrou;Elsevier;https://www.sciencedirect.com/science/article/pii/026288569684491X
Brightness-invariant image segmentation for on-line fruit defect detection;1998.0;JZ Wen, Y Tao;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/Optical-Engineering/volume-37/issue-11/0000/Brightness-invariant-image-segmentation-for-on-line-fruit-defect-detection/10.1117/1.601882.short
Screw defect detection system based on AI image recognition technology;2020.0;HH Kuo, JM Xu, CT Yu, JJ Yan;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9394116/
A learning-based approach for automatic defect detection in textile images;2015.0;D Yapi, M Mejri, MS Allili, N Baaziz;Elsevier;https://www.sciencedirect.com/science/article/pii/S2405896315006904
A dual-threshold image sweep-and-mark algorithm for defect detection in veneer.;1989.0;DA Butler, CC Brunner, JW Funck;agris.fao.org;https://agris.fao.org/agris-search/search.do?recordID=US19890120430
In situ real time defect detection of 3D printed parts;2017.0;O Holzmond, X Li;Elsevier;https://www.sciencedirect.com/science/article/pii/S2214860417301100
Apple defect detection using statistical histogram based fuzzy c-means algorithm;2011.0;G Moradi, M Shamsi, MH Sedaaghi…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6121573/
A lightweight deep network for defect detection of insert molding based on X-ray imaging;2021.0;B Wang, F Huang;mdpi.com;https://www.mdpi.com/1236430
Texture defect detection using the adaptive two-dimensional lattice filter;1996.0;R Meylani, A Ertuzun, A Erçil;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/560410/
New banknote defect detection algorithm using quaternion wavelet transform;2016.0;S Gai;Elsevier;https://www.sciencedirect.com/science/article/pii/S0925231216003064
Fabric defect detection based on biological vision modeling;2018.0;C Li, G Gao, Z Liu, M Yu, D Huang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8367783/
Accurate defect detection via sparsity reconstruction for weld radiographs;2018.0;B Chen, Z Fang, Y Xia, L Zhang, Y Huang, L Wang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869517306321
Automatic road defect detection by textural pattern recognition based on AdaBoost;2012.0;A Cord, S Chambon;Wiley Online Library;https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1467-8667.2011.00736.x
Defect detection of tiles using 2D-wavelet transform and statistical features;2009.0;M Ghazvini, SA Monadjemi, N Movahhedinia…;Citeseer;http://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.192.9463&rep=rep1&type=pdf
Data augmentation on defect detection of sanitary ceramics;2020.0;J Niu, Y Chen, X Yu, Z Li, H Gao;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9254518/
A vision-based system for post-welding quality measurement and defect detection;2016.0;HH Chu, ZY Wang;Springer;https://link.springer.com/article/10.1007/s00170-015-8334-1
A review of defect detection on electrical components using image processing technology;2013.0;GO Asiegbu, A Haidar, K Hawari;Springer;https://link.springer.com/chapter/10.1007/978-81-322-0997-3_23
Automatic visual defect detection using texture prior and low-rank representation;2018.0;Q Huangpeng, H Zhang, X Zeng, W Huang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8402199/
A real-time print-defect detection system for web offset printing;2009.0;NG Shankar, N Ravi, ZW Zhong;Elsevier;https://www.sciencedirect.com/science/article/pii/S0263224108001838
An effective framework of automated visual surface defect detection for metal parts;2021.0;K Qiu, L Tian, P Wang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9475966/
Automatic weld defect detection in real-time X-ray images based on support vector machine;2011.0;J Shao, H Shi, D Du, L Wang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6100637/
Color image-based defect detection method and steel bridge coating;2011.0;S Lee;researchgate.net;https://www.researchgate.net/profile/Sangwook-Lee-10/publication/266471926_Color_Image-based_Defect_Detection_Method_and_Steel_Bridge_Coating/links/5dc1e1c24585151435ec5863/Color-Image-based-Defect-Detection-Method-and-Steel-Bridge-Coating.pdf
Fabric defect detection based on membership degree of regions;2020.0;L Song, R Li, S Chen;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9026964/
An eigenvalue-based similarity measure and its application in defect detection;2005.0;DM Tsai, RH Yang;Elsevier;https://www.sciencedirect.com/science/article/pii/S0262885605001228
Surface defect detection with histogram-based texture features;2000.0;J Iivarinen;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/4197/0000/Surface-defect-detection-with-histogram-based-texture-features/10.1117/12.403757.short
A review of vision based defect detection using image processing techniques for beverage manufacturing industry;2019.0;NNSA Rahman, NM Saad, AR Abdullah…;journals.utm.my;https://journals.utm.my/jurnalteknologi/article/view/12505
Generative principal component thermography for enhanced defect detection and analysis;2020.0;K Liu, Y Li, J Yang, Y Liu, Y Yao;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9088139/
Peach defect detection with machine vision;1991.0;BK Miller, MJ Delwiche;elibrary.asabe.org;https://elibrary.asabe.org/abstract.asp?aid=31911
Automated defect detection in uniform and structured fabrics using Gabor filters and PCA;2013.0;L Bissi, G Baruffa, P Placidi, E Ricci, A Scorzoni…;Elsevier;https://www.sciencedirect.com/science/article/pii/S1047320313001119
Study on wood board defect detection based on artificial neural network;2015.0;L Wenshu, S Lijun, W Jinzhuo;benthamopen.com;https://benthamopen.com/ABSTRACT/TOAUTOCJ-7-290
Deep learning-based defect detection from sequences of ultrasonic B-scans;2021.0;D Medak, L Posilović, M Subašić…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9645423/
Fabric defect detection based on open source computer vision library OpenCV;2010.0;X Jia;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5555633/
Automatic weld defect detection method based on Kalman filtering for real-time radiographic inspection of spiral pipe;2015.0;Y Zou, D Du, B Chang, L Ji, J Pan;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869515000146
Fabric defect detection based on information entropy and frequency domain saliency;2021.0;G Liu, X Zheng;Springer;https://link.springer.com/article/10.1007/s00371-020-01820-w
Deformable patterned fabric defect detection with fisher criterion-based deep learning;2016.0;Y Li, W Zhao, J Pan;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7398188/
Same same but differnet: Semi-supervised defect detection with normalizing flows;2021.0;M Rudolph, B Wandt…;openaccess.thecvf.com;http://openaccess.thecvf.com/content/WACV2021/html/Rudolph_Same_Same_but_DifferNet_Semi-Supervised_Defect_Detection_With_Normalizing_Flows_WACV_2021_paper.html
TFT-LCD mura defect detection using DCT and the dual-γ piecewise exponential transform;2018.0;S Jin, C Ji, C Yan, J Xing;Elsevier;https://www.sciencedirect.com/science/article/pii/S0141635917304713
D4Net: De-deformation defect detection network for non-rigid products with large patterns;2021.0;X Xu, J Chen, H Zhang, WWY Ng;Elsevier;https://www.sciencedirect.com/science/article/pii/S0020025520304710
Nondestructive defect detection in castings by using spatial attention bilinear convolutional neural network;2020.0;Z Tang, E Tian, Y Wang, L Wang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9057424/
Image texture defect detection method using fuzzy C-means clustering for visual inspection systems;2014.0;V Mosorov, L Tomczak;Springer;https://link.springer.com/article/10.1007/s13369-013-0920-7
Defect detection based on extreme edge of defective region histogram;2018.0;Z Wakaf, HA Jalab;Elsevier;https://www.sciencedirect.com/science/article/pii/S1319157816301070
Independent component analysis for texture defect detection;2004.0;OG Sezer, A Ertiizun, A Erçil;Citeseer;https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.419.4142&rep=rep1&type=pdf
A review on modern defect detection models using DCNNs–Deep convolutional neural networks;2022.0;AA Tulbure, AA Tulbure, EH Dulf;Elsevier;https://www.sciencedirect.com/science/article/pii/S2090123221000643
Image enhancement method for laser infrared thermography defect detection in aviation composites;2019.0;Q Wang, Q Hu, J Qiu, C Pei, X Li, H Zhou…;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/Optical-Engineering/volume-58/issue-10/103104/Image-enhancement-method-for-laser-infrared-thermography-defect-detection-in/10.1117/1.OE.58.10.103104.short
Signature analysis and defect detection in layered manufacturing of ceramic sensors and actuators;2003.0;T Fang, MA Jafari, SC Danforth, A Safari;Springer;https://link.springer.com/article/10.1007/s00138-002-0074-1
Multistage GAN for fabric defect detection;2019.0;J Liu, C Wang, H Su, B Du, D Tao;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8937049/
A generic automated surface defect detection based on a bilinear model;2019.0;F Zhou, G Liu, F Xu, H Deng;mdpi.com;https://www.mdpi.com/508976
Image segmentation in weld defect detection based on modified background subtraction;2013.0;Z Liao, J Sun;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6745239/
The high-speed fabric defect detection algorithm based on the image layered model;2013.0;P Li, Y Jiao, J Jing, J Li;admin.global-sci.org;https://admin.global-sci.org/uploads/Issue/JFBI/v6n2/JFBI-6.2.5_short.pdf
An independent component analysis-based filter design for defect detection in low-contrast surface images;2006.0;DM Tsai, PC Lin, CJ Lu;Elsevier;https://www.sciencedirect.com/science/article/pii/S0031320306001178
Fabric defect detection algorithm using RDPSO-based optimal Gabor filter;2019.0;Y Li, H Luo, M Yu, G Jiang, H Cong;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00405000.2018.1489951
Small defect detection using convolutional neural network features and random forests;2018.0;X Dong, CJ Taylor, TF Cootes;openaccess.thecvf.com;http://openaccess.thecvf.com/content_eccv_2018_workshops/w23/html/Dong_Small_Defect_Detection_Using_Convolutional_Neural_Network_Features_and_Random_ECCVW_2018_paper.html
Texture exemplars for defect detection on random textures;2005.0;X Xie, M Mirmehdi;Springer;https://link.springer.com/chapter/10.1007/11552499_46
Fabric defect detection based on multi-scale wavelet transform and Gaussian mixture model method;2015.0;P Li, H Zhang, J Jing, R Li, J Zhao;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/00405000.2014.929790
Development of an optical inspection platform for surface defect detection in touch panel glass;2016.0;M Chang, BC Chen, JL Gabayno…;Taylor & Francis;https://www.tandfonline.com/doi/abs/10.1080/15599612.2016.1166304
Fabric defect detection based on completed local quartet patterns and majority decision algorithm;2022.0;Z Pourkaramdel, S Fekri-Ershad, L Nanni;Elsevier;https://www.sciencedirect.com/science/article/pii/S0957417422002834
Defect detection of bearing surfaces based on machine vision technique;2010.0;S Deng, W Cai, Q Xu, B Liang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5620311/
Rail defect detection using Gabor filters with texture analysis;2015.0;VR Vijaykumar, S Sangamithirai;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7219838/
Joint scanning laser thermography defect detection method for carbon fiber reinforced polymer;2019.0;Z He, H Wang, Y He, G Zhang, J Wang…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8835098/
Metal surface defect detection based on MATLAB;2018.0;Z Li, J Zhang, T Zhuang, Q Wang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8577540/
Real time defect detection using image segmentation;1997.0;J Miteran, P Geveaux, R Bailly…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/649082/
BAF-detector: An efficient CNN-based detector for photovoltaic cell defect detection;2021.0;B Su, H Chen, Z Zhou;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9398560/
Steel surface defect detection using transfer learning and image segmentation;2020.0;S Wang, X Xia, L Ye, B Yang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9345151/
Novel framework based on HOSVD for Ski goggles defect detection and classification;2019.0;NT Le, JW Wang, CC Wang, TN Nguyen;mdpi.com;https://www.mdpi.com/596224
Casting defect detection in X-ray images using convolutional neural networks and attention-guided data augmentation;2021.0;L Jiang, Y Wang, Z Tang, Y Miao, S Chen;Elsevier;https://www.sciencedirect.com/science/article/pii/S0263224120312392
CADN: a weakly supervised learning-based category-aware object detection network for surface defect detection;2021.0;J Zhang, H Su, W Zou, X Gong, Z Zhang, F Shen;Elsevier;https://www.sciencedirect.com/science/article/pii/S0031320320303745
Fabric defect detection system using stacked convolutional denoising auto-encoders trained with synthetic defect data;2020.0;YJ Han, HJ Yu;mdpi.com;https://www.mdpi.com/683734
Automatic fabric defect detection using learning-based local textural distributions in the contourlet domain;2017.0;D Yapi, MS Allili, N Baaziz;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/7926382/
Using statistical histogram based EM algorithm for apple defect detection;2012.0;G Moradi, M Shamsi, MH Sedaaghi…;Citeseer;https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.1049.5541&rep=rep1&type=pdf
An intelligent and automated 3D surface defect detection system for quantitative 3D estimation and feature classification of material surface defects;2021.0;Y Zong, J Liang, H Wang, M Ren, M Zhang, W Li…;Elsevier;https://www.sciencedirect.com/science/article/pii/S0143816621001032
Background removal and weld defect detection based on energy distribution of image;2007.0;迟大钊， 刚铁， 高双胜;cqvip.com;http://www.cqvip.com/qk/85464x/20071/24100985.html
Texture defect detection using subband domain co-occurrence matrices;1998.0;AL Amet, A Ertuzun, A Erçil;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/666886/
Pcb defect detection using denoising convolutional autoencoders;2020.0;S Khalilian, Y Hallaj, A Balouchestani…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9187485/
Fabric defect detection using local contrast deviations;2011.0;M Shi, R Fu, Y Guo, S Bai, B Xu;Springer;https://link.springer.com/article/10.1007/s11042-010-0472-8
YOLOv4-MN3 for PCB Surface Defect Detection;2021.0;X Liao, S Lv, D Li, Y Luo, Z Zhu, C Jiang;mdpi.com;https://www.mdpi.com/2076-3417/11/24/11701
Fabric image defect detection by using GLCM and ROSETTA;2009.0;M Hanmandlu, D Sujata…;researchpublications.org;http://www.researchpublications.org/IJCSA/issue4/2009-IJCSA-02-01-12.pdf
Novel SFS-NDT in the field of defect detection;2005.0;LM Song, XH Qu, KX Xu, LN Lv;Elsevier;https://www.sciencedirect.com/science/article/pii/S0963869504001331
A novel approach: high resolution inspection with wafer plane defect detection;2008.0;C Hess, M Wihl, R Shi, Y Xiong…;spiedigitallibrary.org;https://www.spiedigitallibrary.org/conference-proceedings-of-spie/7028/70281F/A-novel-approach--high-resolution-inspection-with-wafer-plane/10.1117/12.793056.short
Simultaneous pixel-level concrete defect detection and grouping using a fully convolutional model;2021.0;C Zhang, C Chang, M Jamshidi;journals.sagepub.com;https://journals.sagepub.com/doi/abs/10.1177/1475921720985437
Weld defect detection based on Gaussian curve;1996.0;Y Li, TW Liao;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/493504/
Defect detection and classification on web textile fabric using multiresolution decomposition and neural networks;1999.0;YA Karayiannis, R Stojanovic…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/813221/
A fuzzy inference system applied to defect detection in flat steel production;2010.0;A Borselli, V Colla, M Vannucci…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5584036/
Defect detection on button surfaces with the weighted least-squares model;2017.0;Y Han, Y Wu, D Cao, P Yun;Springer;https://link.springer.com/article/10.1007/s12200-017-0687-7
A review of automatic fabric defect detection techniques;2009.0;PM Mahajan, SR Kolhe, PM Patil;researchgate.net;https://www.researchgate.net/profile/Satish-Kolhe/publication/47372876_A_review_of_automatic_fabric_defect_detection_techniques/links/00463536882f5163fa000000/A-review-of-automatic-fabric-defect-detection-techniques.pdf
Real-time image processing for edge inspection and defect detection in stainless steel production lines;2011.0;CG Spinola, J Canero…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5962196/
Convolutional neural networks for steel surface defect detection from photometric stereo images;2014.0;D Soukup, R Huber-Mörk;Springer;https://link.springer.com/chapter/10.1007/978-3-319-14249-4_64
Recurrent spatial transformer network for high‐accuracy image registration in moving PCB defect detection;2020.0;W Huang, G Hua, Z Yu, H Liu;Wiley Online Library;https://ietresearch.onlinelibrary.wiley.com/doi/abs/10.1049/joe.2019.1182
A review on industrial surface defect detection based on deep learning technology;2020.0;S Qi, J Yang, Z Zhong;dl.acm.org;https://dl.acm.org/doi/abs/10.1145/3426826.3426832
Steel sheet defect detection based on deep learning method;2019.0;W Zeng, Z You, M Huang, Z Kong…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9012199/
Image defect detection algorithm based on deep learning;2019.0;RA Sizyakin, VV Voronin, NV Gapon…;iopscience.iop.org;https://iopscience.iop.org/article/10.1088/1757-899X/680/1/012041/meta
Fabric defect detection using fuzzy inductive reasoning based on image histogram statistic variables;2009.0;Y Ye;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5359825/
Defect inspection in tire radiographic image using concise semantic segmentation;2020.0;Z Zheng, S Zhang, B Yu, Q Li, Y Zhang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/9119415/
Defect detection in textured materials using optimized filters;2002.0;A Kumar, GKH Pang;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/1033176/
Single Fusion Image from Collections of Fruit Views for Defect Detection and Classification;2022.0;A Albiol, C Sánchez de Merás, A Albiol, S Hinojosa;mdpi.com;https://www.mdpi.com/1736502
Siritool: a matlab graphical user interface for image analysis in structured-illumination reflectance imaging for fruit defect detection;2020.0;Y Lu, R Lu;elibrary.asabe.org;https://elibrary.asabe.org/abstract.asp?aid=51704
Fabric defect detection in textile manufacturing: a survey of the state of the art;2021.0;C Li, J Li, Y Li, L He, X Fu, J Chen;hindawi.com;https://www.hindawi.com/journals/scn/2021/9948808/
Fabric defect detection adopting combined GLCM, Gabor wavelet features and random decision forest;2019.0;NT Deotale, TK Sarode;Springer;https://link.springer.com/article/10.1007/s13319-019-0215-1
Defect detection algorithm for high speed inspection in machine vision;2013.0;K Iyshwerya, B Janani, S Krithika…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/6623010/
A sparse representation method for image-based surface defect detection;2018.0;MH Yao, QL Gu;Springer;https://link.springer.com/article/10.1007/s11801-018-8078-x
Fabric defect detection via low-rank decomposition with gradient information and structured graph algorithm;2021.0;B Shi, J Liang, L Di, C Chen, Z Hou;Elsevier;https://www.sciencedirect.com/science/article/pii/S0020025520308665
Fruit defect detection from color images using ACM and MFCM algorithms;2011.0;G Moradi, M Shamsi, MH Sedaghi…;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5959033/
Welding defect detection by segmentation of radiographic images;2009.0;A Mahmoudi, F Regragui;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5170291/
Steel surface defect detection using texture segmentation based on multifractal dimension;2009.0;M Yazdchi, M Yazdi, AG Mahyari;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/5190595/
AI on edge device for laser chip defect detection;2019.0;D Hou, T Liu, YT Pan, J Hou;ieeexplore.ieee.org;https://ieeexplore.ieee.org/abstract/document/8666503/
Automated grading and defect detection: a review;1998.0;DT Phan, RJ Alcock;search.proquest.com;https://search.proquest.com/openview/e7cd45c8e04d729e4047e5a7af8fa437/1?pq-origsite=gscholar&cbl=25222
An automated ceramic tiles defect detection and classification system based on artificial neural network;2014.0;R Mishra, D Shukla;Citeseer;https://citeseerx.ist.psu.edu/viewdoc/download?doi=10.1.1.434.7136&rep=rep1&type=pdf
Surface Defect Detection Method Based on Improved Semisupervised Multitask Generative Adversarial Network;2022.0;L Zhu, D Baolin, Z Xiaomeng, F Shaoliang…;hindawi.com;https://www.hindawi.com/journals/sp/2022/4481495/
Texture characterization and defect detection using adaptive wavelets;1996.0;WJ Jasper, SJ Garnier, H Potlapalli;spiedigitallibrary.org;https://www.spiedigitallibrary.org/journals/optical-engineering/volume-35/issue-11/0000/Texture-characterization-and-defect-detection-using-adaptive-wavelets/10.1117/1.601054.short
Fast defect detection in textured surfaces using 1D Gabor filters;2002.0;DM Tsai, CP Lin;Springer;https://link.springer.com/article/10.1007/s001700200205
